127.0.0.1 - - [10/Aug/2019:16:06:33 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:36 +0800] "GET /CLWebDemo/homePage.jsp HTTP/1.1" 200 43605
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:36 +0800] "GET /CLWebDemo/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:36 +0800] "GET /CLWebDemo/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:36 +0800] "GET /CLWebDemo/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:36 +0800] "GET /CLWebDemo/resources/css/jquery-ui-themes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:36 +0800] "GET /CLWebDemo/resources/css/axure_rp_page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:36 +0800] "GET /CLWebDemo/data/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:36 +0800] "GET /CLWebDemo/files/%E9%A6%96%E9%A1%B5/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:36 +0800] "GET /CLWebDemo/resources/scripts/jquery-1.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:36 +0800] "GET /CLWebDemo/resources/scripts/jquery-ui-1.8.10.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:36 +0800] "GET /CLWebDemo/resources/scripts/prototypePre.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:37 +0800] "GET /CLWebDemo/data/document.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:37 +0800] "GET /CLWebDemo/resources/scripts/prototypePost.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:37 +0800] "GET /CLWebDemo/files/%E9%A6%96%E9%A1%B5/data.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:37 +0800] "GET /CLWebDemo/img/36.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:37 +0800] "GET /CLWebDemo/img/34.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:37 +0800] "GET /CLWebDemo/img/33.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:37 +0800] "GET /CLWebDemo/img/35.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:37 +0800] "GET /CLWebDemo/img/19.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:37 +0800] "GET /CLWebDemo/img/20.jpg HTTP/1.1" 304 -
